"id","fqdn/ip","port","severity","finding","cve","cwe"
"certificate_compression","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","none","",""
"clientAuth","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","none","",""
"cert_numbers","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","1","",""
"cert_signatureAlgorithm","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","ECDSA with SHA384","",""
"cert_keySize","basedeslieux.culture.gouv.fr/94.23.123.122","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","Digital Signature","",""
"cert_extKeyUsage","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","0437151BE7B406A6287A041C555DF1C78716","",""
"cert_serialNumberLen","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","18","",""
"cert_fingerprintSHA1","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","6A77E06C6AAADB7A7C930BE08BF23B5F276E5AD5","",""
"cert_fingerprintSHA256","basedeslieux.culture.gouv.fr/94.23.123.122","443","INFO","E613FDB51C15190C3DC4E429E4531131E807487CFADB61AC366C00D9F2F76EF5","",""
